code,prevelence,h2_observed,h2_observed_se,h2_liability,h2_liability_se,h2_z,h2_p
I12,0.000581259,0.002291596,0.002048884,0.319008147,0.285220768,1.118460445,0.131685196
I20,0.0143446,0.010248953,0.00249586,0.109113338,0.026571652,4.106381399,2.01e-05
I21,0.0116459,0.008698084,0.002430031,0.108101654,0.03020095,3.579412397,0.000172184
I22,0.00126335,0.002695693,0.002175822,0.195476134,0.157778093,1.23893077,0.107685569
I24,0.000854095,0.001462688,0.002252775,0.147108126,0.226570173,0.649282842,0.258077787
I25,0.0259639,0.018830675,0.003555847,0.13085667,0.024710017,5.295693361,5.93e-08
I26,0.00361211,0.004450895,0.002356767,0.137037813,0.072562085,1.888559484,0.02947544
I30,0.00031732,0.00503279,0.002337658,1.175511135,0.546007796,2.152920059,0.015662481
I31,0.000744368,0.002728511,0.002587945,0.308098251,0.292225841,1.054315558,0.145869234
I33,0.000263939,-0.001970944,0.002137838,-0.539611091,0.585303892,-0.921933202,0.82171829
I34,0.00104389,0.000956455,0.002173753,0.081306107,0.184785986,0.440001479,0.329968018
I35,0.00142646,7.85e-05,0.002434242,0.005149842,0.159612699,0.03226461,0.487130516
I42,0.000845198,0.002453488,0.002183132,0.248937872,0.221506757,1.123838728,0.130540724
I44,0.00102907,-0.000373174,0.002283901,-0.032104271,0.196484494,-0.163393409,0.564895654
I45,0.000566431,-0.001586571,0.002110761,-0.225763231,0.300353623,-0.751658093,0.773871651
I46,0.00024318,-0.003345279,0.002356547,-0.983113272,0.69254382,-1.419568328,0.922133304
I47,0.00340155,0.002161395,0.002244304,0.069820777,0.072499055,0.96305776,0.167759269
I48,0.0113227,0.009432528,0.002713663,0.119726719,0.034444419,3.475939547,0.000254534
I49,0.00143535,0.001888036,0.002186207,0.123162885,0.142613605,0.863612453,0.193900411
I50,0.00182978,0.000865871,0.002202836,0.046243717,0.117647293,0.39307081,0.347133591
I51,0.000447807,0.001172226,0.002289084,0.203771976,0.397919019,0.512094084,0.304292582
I60,0.00123073,-0.003617709,0.002177967,-0.268100808,0.161404593,-1.661048199,0.951648117
I61,0.000753264,0.002502749,0.002331303,0.279787976,0.260621684,1.073540665,0.141514302
I62,0.000388495,-0.000193,0.002013053,-0.037886753,0.395171657,-0.095874167,0.538189744
I63,0.00339266,0.003525076,0.00226995,0.114111606,0.073481441,1.552930969,0.060219814
I64,0.00160143,0.00087917,0.002187671,0.052393762,0.13037331,0.401874909,0.343888045
I65,0.000839267,-6.15e-05,0.002278901,-0.006274627,0.232596745,-0.026976416,0.510760728
I67,0.000833336,-0.000660372,0.00185833,-0.067804201,0.190805403,-0.355357868,0.638839246
